No,Date,Invoice Number ,To,Description,Amount without VAT,VAT,Total Amount,Net,Vat,Gross Sales,19%
1,01/12/2025,81,Hatlo,Labels x8, 56.00 , 10.64 , 66.64 ,,,,
2,22/01/2026,82,Hatlo,Labels 3 + 8, 81.00 , 15.39 , 96.39 ,,,,
