Month,Date ,Invoice No,Invoice,Description,More Info,Amount without VAT,VAT,Total Amount,Payment Method,Country,Note,
November,13/11/2025,55730,EKO,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
October,27/10/2025,,Metro supermarket,Supermarket,Food,€ 10.47,€ 0.52,€ 10.99,,,,
October,16/10/2025,,Vienna Bakeries ,bakerie,food,€ 5.24,€ 0.26,€ 5.50,,,,
October,27/10/2025,,LIDL,Supermarket,Food,€ 15.36,€ 0.65,€ 16.01,,,,
October,16/10/2025,,LIDL,Supermarket,food,€ 15.11,€ 1.48,€ 16.59,,,,
November,25/11/2025,,Serenity,Luxury boutique Spa,gifts ,€ 42.02,€ 7.98,€ 50.00,,,,
October,13/10/2025,1704,MCIT,PC -Equipment,Equipment,€ 141.50,€ 26.89,€ 168.39,,,,
September,16/09/2025,1510,MCIT,PC -Equipment,Equipment,€ 49.00,€ 9.31,€ 58.31,,,,
September,15/09/2025,1507,MCIT,PC -Equipment,Equipment,€ 338.00,€ 64.22,€ 402.22,,,,
September,23/09/2025,1572,MCIT,PC -Equipment,Equipment,€ 445.00,€ 84.55,€ 529.55,,,,
January,,4261856,CJS CD Keys,Software,Microsoft _Office_Standard_2024_CD_KEY (Digital Download),€ 12.99,€ 0.00,€ 12.99,,USA,,
January,,4270315,CJS CD Keys,Software,Microsoft _Office_Standard_2021_CD_KEY (Digital Download),€ 9.99,€ 0.00,€ 9.99,,USA,,
January,,4270831,CJS CD Keys,Software,Microsoft _Office_Standard_2021_CD_KEY (Digital Download),€ 9.99,€ 0.00,€ 9.99,,USA,,
November,14/11/2025,367169,DATABASE MART,Server Subscription,Web Server,€ 213.51,€ 0.00,€ 213.51,,USA,,
November,18/11/2025,370758,DATABASE MART,Server Subscription,Email Server,€ 70.79,€ 0.00,€ 70.79,,USA,,
October,18/10/2025,344948,DATABASE MART,Server Subscription,Email Server,€ 70.68,€ 0.00,€ 70.68,,USA,,
October,15/10/2025,342567,DATABASE MART,Server Subscription,Web Server,€ 214.21,€ 0.00,€ 214.21,,USA,,
September,18/09/2025,319809,DATABASE MART,Server Subscription,Email Server,€ 70.07,€ 0.00,€ 70.07,,USA,,
September,15/09/2025,317470,DATABASE MART,Server Subscription,Web Server,€ 211.28,€ 0.00,€ 211.28,,USA,,
September,10/09/2025,313774,DATABASE MART,SSL,,€ 34.33,€ 0.00,€ 34.33,,USA,,
October,09/10/2025,SAL0122393,GEVOREST,Furniture ,Equipment,"€ 1,054.62",€ 200.38,"€ 1,255.00",,,,
September,30/09/2025,124996,GEVOREST,Furniture ,Equipment,€ 105.04,€ 19.96,€ 125.00,,,,
October,25/10/2025,4039,LEROY MERLIN,Furniture,Equipment,€ 14.00,€ 2.66,€ 16.66,,,,
November,25/11/2025,17191,LEROY MERLIN,Furniture,Equipment,€ 43.52,€ 8.27,€ 51.79,,,,
October,16/10/2025,11840,LEROY MERLIN,Furniture,Equipment,€ 21.48,€ 4.08,€ 25.56,,,,
December,02/12/2025,,SPANIAS,outdoor cleaning equipment,Equipment,€ 97.39,€ 18.50,€ 115.89,,,,
October,14/10/2025,31813,e-shopcy,pc-communication-hardware,Equipment,€ 13.36,€ 2.54,€ 15.90,,,,
November,27/11/2025,31998,e-shopcy,pc-communication-hardware,Equipment,€ 5.80,€ 1.10,€ 6.90,,,,
October,27/10/2025,31860,e-shopcy,pc-communication-hardware,Equipment,€ 20.25,€ 3.85,€ 24.10,,,,
December,01/12/2025,32014,e-shopcy,pc-communication-hardware,Equipment,€ 11.68,€ 2.22,€ 13.90,,,,
June,11/06/2025,,Seaqull Software LLC,Software/Hardware ,Equipment,€ 611.00,€ 0.00,€ 611.00,,USA,,
June,11/06/2025,,Seaqull Software LLC,Software/Hardware ,Equipment,€ 143.55,€ 0.00,€ 143.55,,USA,,
October,15/10/2025,,Piastr design & copy center ,Ρούχα & Αξεσουάρ ,gifts ,€ 72.00,€ 13.68,€ 85.68,,,,
November,22/11/2025,,puplic ,cleaning equipment,Equipment,€ 75.55,€ 14.35,€ 89.90,,,,
November,13/11/2025,1104529,nicosia municipality,Εξώδικο,infringement,€ 100.00,€ 0.00,€ 100.00,,,,
October,25/10/2025,,ebay,Hardware,PC-Equipment,€ 9.42,€ 2.21,€ 11.63,,,,
September,19/09/2025,,Darya International Business GmbH,Hardware,PC-Equipment,€ 117.59,€ 47.05,€ 164.64,,,,
September,19/09/2025,,Web Supplies,Hardware,PC-Equipment,€ 12.02,€ 0.00,€ 12.02,,China,,
September,14/09/2025,,AliExpress,Hardware,PC-Equipment,€ 152.84,€ 29.03,€ 181.87,,China,,
November,17/11/2025,,AliExpress,Hardware,PC-Equipment,€ 69.36,€ 13.18,€ 82.54,,China,,
October,23/10/2025,OTYQNWJT-0001,OPENAI,Software,AI,€ 19.33,€ 0.00,€ 19.33,,Ireland,,
November,23/11/2025,OTYQNWJT-0002,OPENAI,Software,AI,€ 19.33,€ 0.00,€ 19.33,,Ireland,,
October,08/10/2025,,ebay,Hardware,PC-Equipment,€ 120.00,€ 25.00,€ 145.00,,,,
October,01/10/2025,,About you,Ρούχα & Αξεσουάρ ,gifts ,€ 20.28,€ 3.85,€ 24.13,,,,
September,23/09/2025,,W.P.E. Print Ltd,cards RV,Stationary,€ 12.60,€ 2.40,€ 15.00,,,,
September,19/09/2025,,DHL,mini receipt printer ,sending items,€ 40.31,€ 2.28,€ 42.59,,,,
November,21/11/2025,,BABYLON,Entertainment,,€ 34.86,€ 3.14,€ 38.00,,,,
November,15/11/2025,,Philippides,,,€ 3.96,€ 0.40,€ 4.36,,,,
October,07/10/2025,,AHK,Bill,Electricity 0825-1025,€ 134.58,€ 11.89,€ 146.47,,,,
September,30/09/2025,,Cyta,Bill,Telephone,€ 50.55,€ 6.41,€ 56.96,,,,
October,31/10/2025,,Cyta,Bill,Telephone,€ 48.51,€ 6.04,€ 54.55,,,,
November,30/11/2025,,Cyta,Bill,Telephone,€ 39.75,€ 7.55,€ 47.30,,,,
September,01/09/2025,,Cablenet,Bill,Internet,€ 21.01,€ 3.99,€ 25.00,,,,
October,01/10/2025,,Cablenet,Bill,Internet,€ 21.01,€ 3.99,€ 25.00,,,,
November,01/11/2025,,Cablenet,Bill,Internet,€ 21.01,€ 3.99,€ 25.00,,,,
September,17/09/2025,,ebay,Hardware,Lenovo ThinkHub,€ 320.76,€ 75.24,€ 396.00,,,,
November,22/11/2025,,Vallestino LTD,Restaurants & Bar,Meeting,€ 56.33,€ 5.07,€ 61.40,,,,
October,16/10/2025,,Sklavenitis ,Supermarket,,€ 36.62,€ 5.96,€ 42.58,,,,
November,26/11/2025,,R.A.M OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
November,19/11/2025,,R.A.M OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
November,13/11/2025,,R.A.M OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
October,14/10/2025,,R.A.M OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 16.81,€ 3.19,€ 20.00,,,,
September,25/09/2025,,R.A.M OIL CYPRUS LTD,Traveling Expenses,Fuels,€ 40.91,€ 7.77,€ 48.68,,,,
